"","Site","Quadrat","Date","Species","DBH","SoilGWC","pH","SIR","Lat","Long","Aspect","Elevation","Slope","SoilT1","SoilT2","SoilT3","LitT1","LitT2","LitT3","SoilM1","SoilM2","SoilM3","uniqueQuadrat","meanSoilT","meanLitT","meanSoilM","microcosm"
"1","SCBI",1,"1/15/2020 10:58","RO",75.3,33.8843369,6.63,2.118599854,-78.139824,38.89629,212.5140076,364.2900085,6.428,5.6,5.7,5.9,5.1,4.9,5.4,36.3,36.9,34.6,1,5.73333333333333,5.13333333333333,35.9333333333333,FALSE
"2","SCBI",2,"1/15/2020 8:45","TP",67.2,37.0245475,6.92,2.998722197,-78.139893,38.89587,265.0950012,361.8800049,2.9849999,6,6.3,6.6,4.8,4,3.1,34.9,37.9,32.4,2,6.3,3.96666666666667,35.0666666666667,TRUE
"3","SCBI",3,"1/15/2020 13:52","HI",35.6,30.5236379,6.7,3.225933586,-78.140556,38.895344,301.5960083,352.5799866,18.5919991,6,5.9,5.6,6.2,6.3,6.1,30.4,27.7,31.9,3,5.83333333333333,6.2,30,TRUE
"4","SCBI",4,"1/15/2020 13:43","RO",118,41.6927417,6.77,3.796793695,-78.140961,38.894989,276.3420105,347.4500122,15.198,6.4,6.1,6.1,6,6.1,5.9,13.5,17.8,20.1,4,6.2,6,17.1333333333333,FALSE
"5","SCBI",5,"1/15/2020 13:30","HI",50,37.3176583,7.09,2.456473056,-78.141579,38.894939,260.0329895,337.2000122,7.2719998,5.7,6,5.8,5.7,5.7,6.2,30.5,29.5,26.8,5,5.83333333333333,5.86666666666667,28.9333333333333,FALSE
"6","SCBI",6,"1/15/2020 14:14","TP",60.3,30.7969175,7.13,4.527995588,-78.141441,38.894451,275.4500122,340.7600098,9.302,6.3,6,5.7,6.5,6.5,6.2,29.3,28.5,31,6,6,6.4,29.6,TRUE
"7","SCBI",7,"1/15/2020 15:04","RO",53,32.9517149,6.83,2.741813395,-78.141808,38.894318,267.0910034,335.519989,11.7519999,6.1,6.2,6,6.4,7,6.7,21.7,23.3,33,7,6.1,6.7,26,TRUE
"8","SCBI",8,"1/15/2020 14:55","TP",70.5,32.767419,7.03,NA,-78.14138,38.893997,282.3070068,342.2200012,7.3540001,6,6.2,6.3,6.6,7,6.7,27.7,28.4,26.4,8,6.16666666666667,6.76666666666667,27.5,TRUE
"9","SCBI",9,"1/15/2020 16:23","RO",57.5,31.0461896,6.76,2.438084471,-78.142258,38.89349,206.4629974,327.230011,10.1929998,7,7.2,7.3,9.8,8.9,8.1,32.4,28.3,26.4,9,7.16666666666667,8.93333333333334,29.0333333333333,FALSE
"10","SCBI",10,"1/15/2020 15:18","HI",51,34.1758709,4.68,2.481927718,-78.141991,38.893127,278.7099915,328.4500122,14.2089996,6.6,6.7,6.9,10.1,8.9,9.5,24.7,21.1,23.8,10,6.73333333333333,9.5,23.2,FALSE
"11","SCBI",11,"1/15/2020 15:34","HI",59,31.5951202,5.24,4.80374957,-78.141289,38.893234,180.0019989,334.4899902,10.4350004,6.5,6.6,6.7,8.6,8.2,8.5,25.8,29.6,19.4,11,6.6,8.43333333333333,24.9333333333333,FALSE
"12","SCBI",12,"1/15/2020 15:38","TP",77.8,35.7676878,6.44,4.370206955,-78.140533,38.893082,281.8139954,335.6499939,17.8600006,6.5,6.6,6.8,7,7.1,7.5,27.6,27.3,21.7,12,6.63333333333333,7.2,25.5333333333333,FALSE
"13","SCBI",13,"1/15/2020 15:49","HI",41.3,41.9532387,6.8,2.963226979,-78.139908,38.893185,284.1140137,346.9299927,9.7910004,6.2,6.3,6.7,8.9,9.5,10.4,19.6,28.9,21.4,13,6.4,9.6,23.3,FALSE
"14","SCBI",14,"1/15/2020 8:38","HI",46.5,47.0768667,6.81,3.769937344,-78.140892,38.892635,267.9970093,331.8800049,12.3319998,6.4,6.6,6.7,12,7.8,11.7,23.6,30.4,27.7,14,6.56666666666667,10.5,27.2333333333333,TRUE
"15","SCBI",15,"1/15/2020 8:59","TP",63.9,35.8728284,6.95,2.593799066,-78.141266,38.892303,211.8529968,322.730011,18.2110004,6.3,6,6.3,7.8,7.1,7.8,30.8,31.6,32.3,15,6.2,7.56666666666667,31.5666666666667,FALSE
"16","SCBI",16,"1/15/2020 9:09","TP",83.9,36.1092824,6.61,3.958695292,-78.141594,38.891888,25.302,322.3399963,16.0279999,6.2,5.6,5.7,6.3,6.4,6.9,29,22.4,26.9,16,5.83333333333333,6.53333333333333,26.1,FALSE
"17","SCBI",17,"1/15/2020 9:17","TP",65.4,34.1578446,6.71,2.823314713,-78.141617,38.89146,14.3439999,335.5499878,17.0470009,5.9,6.1,6.2,7.5,7.3,7,31.1,33.8,29.3,17,6.06666666666667,7.26666666666667,31.4,TRUE
"18","SCBI",18,"1/15/2020 9:25","TP",87,35.407922,6.87,2.942338552,-78.142609,38.891151,318.5910034,337.7900085,5.0159998,6.4,6.6,6.8,8.6,8.5,7.3,33.9,31.7,33.8,18,6.6,8.13333333333333,33.1333333333333,FALSE
"19","SCBI",19,"1/15/2020 9:48","RO",53.3,35.3610143,5.41,2.448368053,-78.137611,38.891972,274.7489929,379.25,13.849,6.7,6.5,6.9,8.9,9.9,10.6,21.1,22.1,17.9,19,6.7,9.8,20.3666666666667,FALSE
"20","SCBI",20,"1/15/2020 9:40","RO",57.9,36.7603713,6.75,5.894222784,-78.138039,38.892101,291.9909973,367.8500061,21.9009991,6.5,6.4,6.2,10.2,9.2,8.1,27.9,30.9,25.4,20,6.36666666666667,9.16666666666667,28.0666666666667,FALSE
"21","SCBI",21,"1/15/2020 9:55","TP",113,34.1505078,7.35,2.977252942,-78.137527,38.892567,240.0740051,380.0799866,12.934,7,7.1,7.3,8.9,8.8,7.8,33.1,25,31.5,21,7.13333333333333,8.5,29.8666666666667,TRUE
"22","SCBI",22,"1/15/2020 9:32","HI",28.4,41.1647349,6.93,2.580097631,-78.138275,38.892891,213.9109955,371.3399963,13.0489998,7.2,7.5,7.6,9.5,10,10.6,17.5,13.7,22.2,22,7.43333333333333,10.0333333333333,17.8,FALSE
"23","SCBI",23,"1/15/2020 12:02","HI",33.5,32.2162919,7.05,3.172325377,-78.13831664,38.89336182,238.5079956,375.5799866,7.526,7.2,7.3,7.5,7.7,8,8,25.3,22,29.6,23,7.33333333333333,7.9,25.6333333333333,FALSE
"24","SCBI",24,"1/15/2020 11:48","RO",31.1,35.0339201,6.75,2.136845801,-78.138069,38.893475,297.9110107,380.3699951,11.7810001,7,7.4,7.6,8.1,8.1,8.1,33.3,25.9,35.3,24,7.33333333333333,8.1,31.5,TRUE
"25","SCBI",25,"1/15/2020 12:42","TP",65.4,32.4426944,7.1,3.849560929,-78.137772,38.893536,273.3720093,388.0299988,28.7180004,6.9,7,7.4,7.8,7.9,8.3,27.3,31.7,34.3,25,7.1,8,31.1,FALSE
"26","SCBI",26,"1/15/2020 10:17","TP",79.3,36.0053321,6.76,2.353797382,-78.136505,38.893047,267.3649902,405.2099915,10.0979996,6.8,6.9,7.2,8.9,8.8,9.3,30.4,25,27.5,26,6.96666666666667,9,27.6333333333333,TRUE
"27","SCBI",27,"1/15/2020 10:11","RO",119.8,33.3169606,4.66,3.087170242,-78.137184,38.893028,243.9579926,391.9200134,11.184,7.5,7,7,9.3,9.8,10.4,28.2,21.4,24.5,27,7.16666666666667,9.83333333333333,24.7,TRUE
"28","SCBI",28,"1/15/2020 10:25","HI",22.6,42.2266326,6.64,5.128654585,-78.135719,38.893124,272.8900146,418,7.6900001,6.8,6.8,7.5,7.4,8,8.1,33.8,33.9,31,28,7.03333333333333,7.83333333333333,32.9,TRUE
"29","SCBI",29,"1/15/2020 11:26","HI",65.2,37.6937101,5.2,7.910764056,-78.135345,38.893311,319.4089966,422.4299927,8.868,6.7,7,7.1,7.6,7.8,7.9,28.1,22.2,23.1,29,6.93333333333333,7.76666666666667,24.4666666666667,TRUE
"30","SCBI",30,"1/15/2020 11:31","RO",60.5,50.4016536,6.25,3.510474055,-78.135475,38.893589,2.1210001,416.9599915,8.5679998,6.7,6.5,6.6,6.7,7.3,7.8,31.7,28.5,26.6,30,6.6,7.26666666666667,28.9333333333333,TRUE
"31","SCBI",31,"1/15/2020 11:39","TP",92.5,36.3336012,6.96,2.792144256,-78.135841,38.893951,5.5310001,409.7200012,13.7679996,6.2,6.4,6.6,7,7.2,7.3,34.2,32.9,29.1,31,6.4,7.16666666666667,32.0666666666667,TRUE
"32","SCBI",32,"1/15/2020 10:42","HI",77,62.8238166,5.79,3.188967403,-78.139809,38.896564,237.647995,367.4599915,10.4709997,5.7,5.8,6.1,5.3,5.1,5.4,17.8,13.6,14.7,32,5.86666666666667,5.26666666666667,15.3666666666667,TRUE
"33","SCBI",33,"1/15/2020 8:52","TP",83.2,36.3239592,6.82,NA,-78.139648,38.896042,219.7109985,363.769989,3.286,6,6.4,6.6,3.9,3.6,4.5,36.5,36.6,33.1,33,6.33333333333333,4,35.4,FALSE
"34","SCBI",34,"1/15/2020 10:35","HI",57.5,63.0483161,6.86,5.148562145,-78.140114,38.896278,234.1569977,363.2399902,10.2840004,5.7,5.4,6.3,5.1,5.1,4.9,15.7,6.3,9.3,34,5.8,5.03333333333333,10.4333333333333,FALSE
"35","SCBI",35,"1/15/2020 11:05","RO",118.2,46.3177255,6.76,6.742845171,-78.140694,38.896008,231.529007,350.5299988,8.3559999,6.3,6.1,5.7,4,5.3,5.3,8.1,17.9,9.3,35,6.03333333333333,4.86666666666667,11.7666666666667,TRUE
"36","SCBI",36,"1/15/2020 11:11","RO",66.7,47.7176271,6.88,4.957831085,-78.140884,38.896393,247.4109955,348.1499939,10.908,5.7,5.8,6.1,4,4.9,3.5,18.6,6.3,6.5,36,5.86666666666667,4.13333333333333,10.4666666666667,FALSE
"37","SCBI",37,"1/15/2020 11:16","HI",86,31.1466455,5.92,2.387655982,-78.141159,38.896481,199.8549957,346.8800049,14.467,6,6.1,6.3,5.4,5.3,5.7,21.1,25.2,29.2,37,6.13333333333333,5.46666666666667,25.1666666666667,TRUE
"38","SCBI",38,"1/15/2020 11:56","RO",65.8,30.0562994,6.94,2.549566266,-78.141647,38.896156,171.0390015,337.1900024,14.8280001,6.3,6.2,6.2,4.2,4.9,4.6,22.2,30.8,24.3,38,6.23333333333333,4.56666666666667,25.7666666666667,TRUE
"39","SCBI",39,"1/15/2020 12:15","RO",58.2,29.9808624,6.86,2.033914515,-78.142441,38.896145,191.7640076,336,12.0760002,5.9,6.2,6.2,5.9,7.6,7.2,34.1,26.9,24.3,39,6.1,6.9,28.4333333333333,FALSE
"40","SCBI",40,"1/15/2020 12:22","HI",20.7,32.4310926,6.72,4.524027048,-78.142799,38.896095,194.3399963,332.7900085,10.7320004,6.4,6.4,6.6,5.9,5.6,6.6,27.8,31.3,33.4,40,6.46666666666667,6.03333333333333,30.8333333333333,TRUE
"41","SCBI",41,"1/15/2020 12:26","TP",66.6,35.4834915,6.85,4.243525026,-78.142303,38.895416,231.8549957,322.4899902,10.349,6.1,6,5.9,4.9,5,5.1,25.4,14.3,22.1,41,6,5,20.6,TRUE
"42","SCBI",42,"1/15/2020 12:31","RO",88.6,35.5201366,5.96,2.426699821,-78.142113,38.89526,292.7789917,326.3500061,15.8590002,5.8,4.9,5.6,5,5.2,4.7,13.5,26.1,29.3,42,5.43333333333333,4.96666666666667,22.9666666666667,TRUE
"43","SCBI",43,"1/15/2020 13:20","RO",84.8,33.9911039,6.89,5.440739359,-78.142136,38.894981,274.1549988,327.5499878,10.6309996,5.3,6.3,5.8,5.2,5.4,5.2,25.2,26.1,20.7,43,5.8,5.26666666666667,24,TRUE
"44","SCBI",44,"1/15/2020 15:08","HI",25.3,39.7439714,6.92,4.304191742,-78.142242,38.894604,281.9259949,327.8299866,8.6370001,5.9,6,6.2,6.8,6.3,6.5,17.5,13.9,20.8,44,6.03333333333333,6.53333333333333,17.4,TRUE
"45","SCBI",45,"1/15/2020 14:43","RO",74.5,39.4660724,6.33,4.214431822,-78.142372,38.894474,280.9179993,326.7399902,12.9300003,5.8,6,5.9,6,6.8,6.9,23.1,22.9,22.2,45,5.9,6.56666666666667,22.7333333333333,TRUE
"46","SCBI",46,"1/15/2020 16:30","TP",51.4,37.2177713,6.86,5.312615369,-78.142677,38.894096,250.8789978,324.0400085,13.5629997,6,5.8,6.1,7.2,6.2,6.5,13.9,11.2,14.1,46,5.96666666666667,6.63333333333333,13.0666666666667,TRUE
"47","SCBI",47,"1/15/2020 16:16","HI",36.6,40.6110996,5.62,4.10725431,-78.142693,38.893547,232.8350067,323.519989,8.7580004,7.1,6.6,7.2,11.2,11.6,7.8,22.9,28.1,16.7,47,6.96666666666667,10.2,22.5666666666667,FALSE
"48","SCBI",48,"1/15/2020 15:57","TP",64.4,31.5635487,6.49,4.976026153,-78.140022,38.892796,265.0960083,347.3599854,11.75,6.6,6.6,6.7,7.9,7.9,9,24.6,28.5,32.1,48,6.63333333333333,8.26666666666667,28.4,FALSE
"49","SCBI",49,"1/15/2020 15:25","HI",48.7,40.9413621,5.62,3.426016369,-78.142403,38.893314,166.2039948,323.4100037,10.5249996,6.8,6.9,7,9.6,8.7,7.9,29.6,24.8,27.5,49,6.9,8.73333333333333,27.3,TRUE
"50","HARV",1,"12/10/2019","RM",28.8,81.555666,4.16,8.733568422,42.536636,351.2909851,339.6900024,7.8800001,2.5,2.7,2.5,2.7,2.4,2.5,57.1,65,60,60,50,2.63333333333333,20.6666666666667,61.6666666666667,TRUE
"51","HARV",2,"12/10/2019 8:16","WP",73.8,79.33149076,3.93,5.44633816,42.536884,85.5910034,338.25,3.7309999,3.7,4,2.3,0.3,0.1,0.4,40.2,44.8,34.2,34.2,51,2.2,13.5666666666667,37.7333333333333,TRUE
"52","HARV",3,"12/10/2019 8:24","RO",49.8,61.8504436,3.86,NA,42.537174,84.8970032,337.6700134,6.2389998,2.8,3.3,2.1,-0.5,0,-0.7,22.1,9,19.8,19.8,52,1.63333333333333,7.13333333333333,16.2,TRUE
"53","HARV",4,"12/10/2019 8:38","WP",45.5,70.2420242,4.01,3.498091236,42.537727,69.0670013,337.3399963,1.0470001,1.5,2.6,3.1,0.4,0,0.3,23.1,12.8,24.4,24.4,53,2.03333333333333,7.8,20.5333333333333,FALSE
"54","HARV",5,"12/10/2019 8:46","RM",26.5,50.09674115,4.11,4.932282393,42.53804,40.6879997,338.2000122,3.1459999,1.4,1.8,2,0.8,0.3,0.3,45.3,45.5,32.1,32.1,54,1.53333333333333,15.3,36.5666666666667,TRUE
"55","HARV",6,"12/10/2019 8:57","RO",21.7,59.94100885,4.15,8.979884636,42.538509,58.6599998,339.3999939,5.7020001,2.7,2.9,2.5,0.3,0.4,0.6,18.1,22.9,31.7,31.7,55,1.9,6.36666666666667,28.7666666666667,TRUE
"56","HARV",7,"12/10/2019 9:16","WP",42.4,70.82291771,4.16,NA,42.539524,151.9190063,340.7200012,8.1429996,1.3,3,3.6,0.4,0.6,0.8,39.8,26.7,31.2,31.2,56,2.33333333333333,13.7333333333333,29.7,TRUE
"57","HARV",8,"12/10/2019 9:28","RM",26.8,79.90757484,4.06,4.285125323,42.539921,167.6040039,340.1700134,1.294,2.4,2.5,2.5,-0.4,-0.2,-0.6,33.9,18.4,25.2,25.2,57,1.53333333333333,11.0333333333333,22.9333333333333,FALSE
"58","HARV",9,"12/10/2019 9:39","WP",41.6,45.25958805,4.26,5.451780132,42.540878,39.9440002,348.0100098,8.1239996,1.5,1.8,1.5,0.6,0.6,-0.3,20,16.9,26.9,26.9,58,1.3,6.76666666666667,23.5666666666667,TRUE
"59","HARV",10,"12/10/2019 9:50","RO",41.5,53.85770791,4.12,7.40825219,42.540401,151.2680054,344.8800049,7.7480001,0.4,0.6,2.3,0.6,0,-0.3,35.3,35.7,37.8,37.8,59,1.16666666666667,11.6666666666667,37.1,TRUE
"60","HARV",11,"12/10/2019 10:00","WP",79.6,46.40399002,4.28,6.080067898,42.541584,128.423996,352.6700134,9.2519999,2.2,2,2,1.4,0.6,0.6,86,14.4,11.4,11.4,60,1.8,29.0666666666667,12.4,TRUE
"61","HARV",12,"12/10/2019 10:12","RM",32.6,52.37571271,4.3,4.481413155,42.541607,173.2559967,360.5400085,9.1359997,1.2,1.5,0.3,0.6,0.6,0.4,34.4,32.4,34.1,34.1,61,0.8,11.8,33.5333333333333,TRUE
"62","HARV",13,"12/10/2019 10:20","RO",59.4,46.37492489,4.36,4.177601898,42.541656,200.4069977,359.5299988,14.1719999,2.5,2.8,1.5,1.7,1.6,0.7,18.1,16.4,24.3,24.3,62,2,6.8,21.6666666666667,TRUE
"63","HARV",14,"12/10/2019 10:33","WP",86.8,53.19329408,4.16,4.72133987,42.542309,165.6360016,370.6400146,13.1070004,1.2,0.5,2.2,0.3,0.7,-0.6,30.5,21.8,22.6,22.6,63,1,10.2,22.3333333333333,FALSE
"64","HARV",15,"12/10/2019 10:40","RM",30,56.5093633,4.16,NA,42.542515,228.9779968,373.7999878,8.5229998,3.4,3.1,2.9,0.4,-0.2,0.4,38.9,29.9,27.8,27.8,64,2.13333333333333,13.0333333333333,28.5,TRUE
"65","HARV",16,"12/10/2019 10:46","WP",99.6,63.07969383,4.1,NA,42.542713,217.0619965,373.3299866,11.5769997,3.2,2.8,2.7,0.3,0.4,0.7,9.2,9.9,14.5,14.5,65,1.93333333333333,3.43333333333333,12.9666666666667,FALSE
"66","HARV",17,"12/10/2019 10:54","WP",76.5,65.91670416,3.83,4.920868816,42.543041,233.6109924,373.6199951,15.743,4,3,2.7,0.1,0.4,1.2,4,12,9.2,9.2,66,1.93333333333333,1.86666666666667,10.1333333333333,TRUE
"67","HARV",18,"12/10/2019 11:04","RO",46.5,54.49440994,3.86,5.398627336,42.543297,251.9989929,361.9200134,11.1610003,2.6,2.7,2.7,0.4,0.8,0.6,26.3,24.4,17.5,17.5,67,1.93333333333333,9.23333333333333,19.8,FALSE
"68","HARV",19,"12/10/2019 11:12","RM",56.5,64.23674476,4.03,NA,42.543907,246.3670044,369.3500061,13.6339998,1.1,1.3,1.6,0.7,0.6,0.2,31.9,27.7,24.3,24.3,68,1.2,10.9,25.4333333333333,FALSE
"69","HARV",20,"12/10/2019 11:22","WP",90.2,71.83667365,3.99,4.413191782,42.544144,208.1719971,368.0499878,9.059,3.5,3.5,2.5,1.7,1.5,1.8,14,8.5,13.6,13.6,69,2.56666666666667,5.76666666666667,11.9,FALSE
"70","HARV",21,"12/10/2019 11:57","RO",46.1,54.99579354,4.02,5.394436432,42.544315,85.9329987,370.3399963,7.362,3.4,3.2,3.2,0.8,1.1,1.5,26.2,22.3,22.1,22.1,70,2.4,9.6,22.1666666666667,FALSE
"71","HARV",22,"12/10/2019 11:37","RM",24.1,56.78802143,4.4,3.986946647,42.543961,94.3450012,375.3500061,17.9729996,1.6,1.3,1.2,0,0.4,0.1,26.6,31.9,33.8,33.8,71,0.833333333333333,9.03333333333333,33.1666666666667,FALSE
"72","HARV",23,"12/10/2019 12:08","RO",29.3,48.29102538,4.21,4.506918138,42.543594,117.4169998,376.1600037,11.5749998,1.5,2.2,1.6,0.8,0.4,0.5,32,32.8,34.4,34.4,72,1.53333333333333,10.9666666666667,33.8666666666667,FALSE
"73","HARV",24,"12/10/2019 12:19","RM",30.2,58.59050668,4.01,4.241444905,42.543083,123.5339966,368.7099915,18.6189995,0.8,0.6,1.8,-0.6,-0.7,-0.1,29.8,47,22.1,22.1,73,0.6,9.66666666666667,30.4,TRUE
"74","HARV",25,"12/10/2019 12:45","RO",43.6,44.87083396,4.36,4.307759836,42.542763,82.6829987,360.7600098,15.7720003,1.8,2.2,2,1.4,1.4,1,19.2,20.2,24.4,24.4,74,1.86666666666667,7.2,23,TRUE
"75","HARV",26,"12/10/2019 12:54","RM",19.8,54.97625594,4.14,6.339226452,42.542126,127.5400009,356.5799866,7.494,2.2,2,2.3,0.1,1.1,0.8,19.8,12.9,25.9,25.9,75,1.46666666666667,7.23333333333333,21.5666666666667,FALSE
"76","HARV",27,"12/10/2019 13:03","RO",35.5,56.2315296,3.96,NA,42.541801,77.5910034,363.4299927,9.177,1.5,0.4,1,0.3,-0.1,0.8,36.9,43.2,35.3,35.3,76,0.566666666666667,12.5333333333333,37.9333333333333,FALSE
"77","HARV",28,"12/10/2019 13:11","WP",42,69.7214735,4.01,NA,42.541161,185.0529938,358.4100037,6.388,2.9,3,1.9,0,0.5,0.1,33.5,19.4,24.7,24.7,77,1.63333333333333,11.3666666666667,22.9333333333333,TRUE
"78","HARV",29,"12/10/2019 13:23","RM",32.2,58.78130804,4.04,NA,42.541321,31.9829998,367.4400024,2.5969999,2.7,3.1,2.6,0.9,0.7,0.5,40.9,35.7,40.1,40.1,78,2.2,14.0333333333333,38.6333333333333,TRUE
"79","HARV",30,"12/10/2019 13:32","RO",23.6,57.33459263,4.13,7.18479049,42.541164,149.1490021,370.4599915,12.1520004,2.7,3.3,2.6,1.5,0.9,1.2,30.4,34.6,26.4,26.4,79,2.46666666666667,10.8333333333333,29.1333333333333,FALSE
"80","HARV",31,"12/10/2019 13:44","WP",64.7,47.61285807,4.1,5.926673591,42.541046,166.0140076,374.9100037,10.2220001,3.3,3.5,3.3,1.6,1.8,1.1,20.4,32.9,22.9,22.9,80,2.8,7.76666666666667,26.2333333333333,TRUE
"81","HARV",32,"12/10/2019 13:53","RO",31.2,40.33933012,4.32,NA,42.540459,115.5940018,378.6600037,13.2080002,3.2,2.9,3.3,1.5,1.8,0.9,18.6,14.4,16.6,16.6,81,2.56666666666667,7.1,15.8666666666667,FALSE
"82","HARV",33,"12/10/2019 14:02","RM",17.7,68.05010564,3.99,NA,42.539955,127.0250015,366.019989,9.8009996,2.1,3,3.1,1.8,1.7,1.3,34.8,28.1,26.8,26.8,82,2.63333333333333,12.6,27.2333333333333,FALSE
"83","HARV",34,"12/10/2019 14:20","RM",26.2,61.34269635,4.14,NA,42.539688,154.0099945,364.2999878,7.7610002,1.5,3,2.9,0.6,0.8,0.5,25.1,22.4,NA,NA,83,2.16666666666667,8.8,NA,TRUE
"84","HARV",35,"12/10/2019 14:33","WP",68.1,69.28300379,4.27,NA,42.539303,108.0559998,361.2099915,7.5560002,4.4,4.2,3.8,1.4,1,1.4,22.4,20.2,17.2,17.2,84,3.13333333333333,8.26666666666667,18.2,FALSE
"85","HARV",36,"12/10/2019 14:45","RM",23.5,90.54704595,4.44,NA,42.538696,20.1650009,357.9500122,3.1600001,3.3,3.2,3.3,0.3,-0.3,1.1,NA,NA,NA,NA,85,2.26666666666667,NA,NA,TRUE
"86","HARV",37,"12/10/2019 14:55","RM",44.2,90.32258065,4.47,7.919739558,42.538429,47.1049995,357.6700134,1.531,0.3,0.5,0.4,-0.6,-0.2,-0.6,78.9,76.1,80.1,80.1,86,0.1,26.0333333333333,78.7666666666667,FALSE
"87","HARV",38,"12/10/2019 15:02","WP",45.5,90.50883074,4.02,NA,42.53788,304.3940125,357.5,1.466,0.5,0.6,0.8,0,0.4,0.1,73.6,83.3,79.9,79.9,87,0.466666666666667,24.7,81.0333333333333,TRUE
"88","HARV",39,"12/10/2019 15:17","RM",30.1,86.8222604,4.05,NA,42.537407,160.227005,357.4100037,1.952,0.8,1,0.2,-0.6,-0.1,-0.2,24,27.3,42.2,42.2,88,0.2,7.9,37.2333333333333,TRUE
"89","HARV",40,"12/10/2019 15:33","WP",49.9,75.22385073,3.97,NA,42.536762,132.3269958,357.6499939,5.7930002,2.3,2.7,2.1,0.5,-0.5,-0.6,14.1,10.8,15.2,15.2,89,1.76666666666667,4.33333333333333,13.7333333333333,FALSE
"90","HARV",41,"12/10/2019 15:42","RO",27.4,64.06152667,3.83,3.709596142,42.535995,153.5119934,358.7799988,5.125,3.2,3.5,3.6,1,2,1.1,31.2,35.6,25.8,25.8,90,2.7,11.4333333333333,29.0666666666667,TRUE
"91","HARV",42,"12/10/2019 15:51","RO",37.5,42.22619225,4.17,7.087301683,42.534893,228.970993,357.519989,2.605,1.3,1.3,2.6,0.8,1.3,1,27.9,34.5,38.3,38.3,91,1.56666666666667,10.0666666666667,37.0333333333333,TRUE
"92","HARV",43,"12/10/2019 16:00","WP",45.8,52.85395408,4.03,NA,42.534431,225.6199951,356.9100037,6.2319999,3.1,3,2.9,0.5,0.7,0.4,10.9,14.5,22.4,22.4,92,2.13333333333333,4,19.7666666666667,FALSE
"93","HARV",44,"12/10/2019 16:14","WP",67.5,60.51150638,3.83,4.912306397,42.53487,222.2189941,362.9200134,3.0050001,3.5,4.1,4.1,2.1,1.1,1.7,12.6,13.9,7.3,7.3,93,3.43333333333333,5.13333333333333,9.5,TRUE
"94","HARV",45,"12/10/2019 16:25","RO",39.3,46.7494595,4,5.097463735,42.534264,334.9179993,363.9700012,3.4319999,2.4,2.7,2.9,0.8,0.4,1.7,9.3,18.3,22.5,22.5,94,2.13333333333333,3.8,21.1,TRUE
"95","HARV",46,"12/10/2019 16:37","RO",43.5,45.29243233,4.04,6.983513553,42.533882,173.5690002,360.1600037,2.3440001,3.7,3.3,3.5,1.5,1.6,1.3,28.6,17.7,18.5,18.5,95,2.76666666666667,10.5,18.2333333333333,TRUE
"96","HARV",47,"12/10/2019 16:44","RM",32,65.00365764,3.89,3.626920682,42.533409,212.6629944,358.1900024,7.9549999,2.9,3,3.6,0.8,0.8,0.6,30.9,39.5,29,29,96,2.46666666666667,10.7666666666667,32.5,FALSE
"97","HARV",48,"12/10/2019 16:58","RO",55.7,39.48705541,3.96,NA,42.53344,298.5780029,366.7999878,5.9499998,2.6,2.8,2.9,1.3,0.8,0.6,27.1,20.1,31.8,31.8,97,2.33333333333333,9.5,27.9,FALSE
