unique.id,replicate,tin_mass,tin_fresh_soil,tin_oven_dried_soil
nsfms-a-1,1,1.2549,3.2669,1.626
nsfms-a-1,2,1.2253,2.3831,1.4646
nsfms-a-1,3,1.2504,2.5128,1.732
nsfms-a-2,1,1.2272,3.227,1.8223
nsfms-a-2,2,1.2704,3.9063,2.5858
nsfms-a-2,3,1.2826,3.2829,2.0839
nsfms-a-3,1,1.1944,3.1946,1.778
nsfms-a-3,2,1.2753,3.2661,1.6753
nsfms-a-3,3,1.2218,3.2269,2.3194
nsfms-a-4,1,1.2579,3.2552,2.1795
nsfms-a-4,2,1.2804,3.2854,2.355
nsfms-a-4,3,1.2671,3.2665,2.2193
nsfms-b-1,1,1.2985,3.2957,2.3695
nsfms-b-1,2,1.2927,3.2969,2.2308
nsfms-b-1,3,1.231,3.2335,2.1019
nsfms-b-2,1,1.2487,3.2476,1.9867
nsfms-b-2,2,1.2393,3.2394,1.921
nsfms-b-2,3,1.261,3.2735,2.1768
nsfms-b-3,1,1.2502,3.2777,1.9753
nsfms-b-3,2,1.2806,3.2864,1.8455
nsfms-b-3,3,1.2612,3.2819,2.1706
nsfms-b-4,1,1.1979,3.1948,2.0608
nsfms-b-4,2,1.2999,3.3011,2.3347
nsfms-b-4,3,1.2801,3.2794,2.108
nsfms-c-1,1,1.2121,3.2134,2.3154
nsfms-c-1,2,1.2668,3.2673,2.1675
nsfms-c-1,3,1.2841,3.2467,2.1431
nsfms-c-2,1,1.2263,3.2297,1.8329
nsfms-c-2,2,1.3595,3.3518,2.1807
nsfms-c-2,3,1.2705,3.2822,2.1288
nsfms-c-3,1,1.2633,3.2636,2.3112
nsfms-c-3,2,1.2333,3.2844,2.457
nsfms-c-3,3,1.3564,3.3442,1.9915
nsfms-c-4,1,1.232,3.2399,2.0082
nsfms-c-4,2,1.3574,3.3602,1.9726
nsfms-c-4,3,1.2459,3.3024,1.4403